,index,count
884,15 24,0
885,16 06,0
886,15 25,0
887,15 27,0
888,15 28,0
889,15 29,0
890,15 31,0
891,00 01,0
892,16 01,0
893,16 02,0
894,16 03,0
895,16 04,0
896,16 05,0
897,16 07,0
898,16 20,0
899,16 08,0
900,16 09,0
901,16 10,0
902,16 11,0
903,16 13,0
904,16 14,0
905,16 15,0
906,16 16,0
907,16 17,0
908,16 18,0
909,16 19,0
910,13 19,0
911,13 17,0
912,09 07,0
913,13 16,0
914,10 07,0
915,10 08,0
916,10 09,0
917,10 12,0
918,10 13,0
919,10 15,0
920,10 16,0
921,10 17,0
922,10 19,0
923,10 20,0
924,10 21,0
925,10 22,0
926,10 23,0
927,10 24,0
928,10 25,0
929,10 28,0
930,10 30,0
931,10 31,0
932,11 00,0
933,11 01,0
934,11 02,0
935,11 03,0
936,11 04,0
937,11 05,0
938,11 06,0
939,10 06,0
940,10 04,0
941,10 03,0
942,09 19,0
943,09 08,0
944,09 09,0
945,09 10,0
946,09 11,0
947,09 12,0
948,09 13,0
949,09 14,0
950,09 15,0
951,09 16,0
952,09 17,0
953,09 18,0
954,09 20,0
955,10 02,0
956,09 22,0
957,09 23,0
958,09 24,0
959,09 25,0
960,09 26,0
961,09 27,0
962,09 28,0
963,09 29,0
964,09 30,0
965,09 31,0
966,10 00,0
967,11 07,0
968,11 08,0
969,11 09,0
970,13 01,0
971,12 13,0
972,12 14,0
973,12 15,0
974,12 16,0
975,12 19,0
976,12 20,0
977,12 22,0
978,12 23,0
979,12 25,0
980,12 30,0
981,13 00,0
982,13 02,0
983,12 10,0
984,13 03,0
985,13 04,0
986,13 06,0
987,13 07,0
988,13 08,0
989,13 09,0
990,13 11,0
991,13 12,0
992,13 13,0
993,13 14,0
994,13 15,0
995,12 11,0
996,12 09,0
997,11 10,0
998,11 23,0
999,11 11,0
1000,11 12,0
1001,11 13,0
1002,11 14,0
1003,11 15,0
1004,11 16,0
1005,11 17,0
1006,11 19,0
1007,11 20,0
1008,11 21,0
1009,11 22,0
1010,11 24,0
1011,12 07,0
1012,11 25,0
1013,11 26,0
1014,11 27,0
1015,11 28,0
1016,11 30,0
1017,11 31,0
1018,12 00,0
1019,12 02,0
1020,12 03,0
1021,12 04,0
1022,12 06,0
1023,31 31,0
